cohort,algorithm,response_time,records,roc_auc,average_precision,accuracy,balanced_accuracy,f1
broad,logistic_regression,excluded,17198,0.7215170149962555,0.4946146579086648,0.7195604140016281,0.5892776005342646,0.36279561368740915
broad,logistic_regression,included,17198,0.7242200751742937,0.498135311141493,0.7216536806605419,0.5958751027520852,0.37935952288344355
broad,random_forest,excluded,17198,0.728714034419316,0.5075098974349802,0.6540295383184092,0.6775589997321121,0.5574892161237542
broad,random_forest,included,17198,0.7322625958479702,0.5154499457111792,0.6596115827421793,0.6801061635492015,0.5598496240601504
classic_utstein,logistic_regression,excluded,1777,0.5947008801914856,0.612856391021433,0.5773776027011818,0.5681766041891303,0.636319612590799
classic_utstein,logistic_regression,included,1777,0.6049092406086143,0.6154464402849543,0.5852560495216658,0.5758378133117172,0.644133268952197
classic_utstein,random_forest,excluded,1777,0.596302329078947,0.622323437719229,0.5751266178953293,0.5753012355308806,0.5925526173772261
classic_utstein,random_forest,included,1777,0.6076462971034996,0.6291047324238647,0.5807540799099606,0.57866026342018,0.6089238845144357
